Timestamp dT0 sum(dT0) L0 int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2087 0.08313765829325348 -4.475501002084911 0.5701447787547862 1 0.5701447787547862 4905976651.834797 -29601819.914444048 93217098749.26886 0.00019050016074978007 1.606546404182418e-05 0.0013158254755543722 0.0007427280078368793 
2088 -0.0519628668764085 -4.52746386896132 0.575252241872734 1 0.575252241872734 4915991941.082304 -29788100.2571838 94217242198.78479 0.00019108918378903762 1.6111152573790613e-05 0.0013159045975832363 0.0007484401590438645 
2089 -0.21974917553694695 -4.747213044498267 0.5747464864104426 1 0.5747464864104426 4915003189.976712 -29769697.41312172 94118127269.57768 0.00019103102620877404 1.6106635749893977e-05 0.0013158969414097507 0.0007478742181901857 
2090 -0.0783402146622052 -4.825553259160472 0.5868576493996318 1 0.5868576493996318 4938502873.110088 -30207817.14931977 96496268315.19888 0.00019241365995831725 1.621435874873083e-05 0.0013160700687809854 0.0007614450357443837 
2091 0.13759095642041075 -4.687962302740061 0.6071015070649547 1 0.6071015070649547 4976980708.187231 -30928509.5016266 100492778822.28049 0.0001946793504696328 1.639241949611012e-05 0.0013163165684454575 0.0007842131930976148 
2092 -0.08548637320672015 -4.773448675946781 0.6088069614808449 1 0.6088069614808449 4980177972.298262 -30988579.98208152 100830673468.96294 0.00019486771503348646 1.6407309125825348e-05 0.0013163351487824554 0.0007861360574833013 
2093 -0.37724952367028664 -5.150698199617068 0.6004198447003352 1 0.6004198447003352 4964388928.915325 -30692210.676482465 99170763918.24239 0.00019393766369139612 1.633391991998397e-05 0.0013162406490537697 0.0007766868209928072 
2094 -0.15695530929264123 -5.307653508909709 0.6125385721379533 1 0.6125385721379533 4987150299.022847 -31119675.28167211 101570648601.08327 0.00019527853782736384 1.6439829230833924e-05 0.0013163747168245343 0.0007903459134437659 
2095 0.1613050349438936 -5.146348473965816 0.6363116408502434 1 0.6363116408502434 5030834490.169999 -31944109.226439063 106305400491.53429 0.00019785414443371287 1.664514384007562e-05 0.0013165949634141177 0.0008172465836844814 
2096 0.06732952503995193 -5.079018948925864 0.6459107913692897 1 0.6459107913692897 5048125747.77381 -32271902.278806303 108227131132.295 0.00019887441482082478 1.6727159024332857e-05 0.0013166701029456956 0.00082814753585498 
2097 0.12049346354064028 -4.958525485385223 0.6611184367216851 1 0.6611184367216851 5075128173.867462 -32785446.830790054 111283117980.08502 0.0002004685759753519 1.6856084985502315e-05 0.001316775342386901 0.0008454624381996923 
2098 0.03204658458770382 -4.92647890079752 0.6698844665746967 1 0.6698844665746967 5090481291.870886 -33078338.301752504 113050947103.43427 0.00020137546728567427 1.6929852548815378e-05 0.0013168291293536214 0.0008554677564593379 
2099 -0.2048334503445517 -5.131312351142071 0.6678617270821843 1 0.6678617270821843 5086952072.945407 -33010953.7569866 112642620364.04793 0.00020116696968446287 1.6912865901471165e-05 0.0013168171325238986 0.0008531574716932104 
2100 0.015341714748785762 -5.1159706363932855 0.6848014378130018 1 0.6848014378130018 5116263460.56737 -33571648.42279565 116069633633.4263 0.00020289916792317483 1.7054484539972472e-05 0.001316910502913486 0.0008725342916816716 
